image,histogram,distanceHistogram,zigZagDistanceHistogram
0003-3157556-152-13.png,0.4847,1.0679,1.0195
0003-3157556-1669-21.png,0.3291,0.8513,0.8362
0003-3157556-1671-21.png,0.2262,0.6639,0.6481
0003-3157556-1675-21.png,0.2052,0.6708,0.6512
0003-3157556-1682-21.png,0.2675,0.6905,0.6811
0003-3157556-178-6.png,0.3364,0.8263,0.8119
0003-3157556-274-17.png,0.5326,1.0584,1.0418
0003-3157556-275-17.png,0.6212,1.092,1.0854
0003-3157556-308-3.png,0.3629,1.0265,0.9874
0003-3157556-374-8.png,0.2013,0.6401,0.6276
0003-3157556-383-4.png,0.8364,1.303,1.3316
0003-3157556-444-9.png,0.3067,0.8829,0.8706
0003-3157556-445-9.png,0.13,0.6426,0.6049
0003-3157556-976-19.png,0.2293,0.8344,0.7656
0004-3157556-1001-21.png,0.3617,0.7755,0.7715
0004-3157556-1007-21.png,0.2973,0.8462,0.8116
0004-3157556-1008-21.png,0.3073,0.792,0.7937
0004-3157556-1016-21.png,0.352,0.8583,0.8656
0004-3157556-128-15.png,0.6077,1.1166,1.081
0004-3157556-131-16.png,0.1967,0.6549,0.6348
0004-3157556-170-17.png,0.6458,1.0553,1.0602
0004-3157556-1737-21.png,0.5036,0.9852,0.9938
0004-3157556-176-18.png,0.4742,0.968,0.9637
0004-3157556-209-1.png,0.1737,0.4907,0.4924
0004-3157556-211-1.png,0.2176,0.5744,0.5634
0004-3157556-2561-2.png,1.25,1.7294,1.7148
0004-3157556-320-18.png,0.2653,0.7163,0.6967
0004-3157556-383-11.png,0.5724,0.9939,0.9894
0004-3157556-390-18.png,0.3859,0.9101,0.8655
0004-3157556-465-9.png,0.2244,0.7413,0.716
0004-3157556-466-9.png,0.1787,0.7016,0.6712
0004-3157556-497-19.png,0.3213,0.9021,0.8659
0004-3157556-498-19.png,0.3374,0.8378,0.8041
0004-3157556-503-19.png,0.3826,1.0053,0.9293
0004-3157556-83-15.png,0.7731,1.3157,1.3062
0004-3157556-88-10.png,0.4481,1.0465,1.043
0004-3157556-92-5.png,0.4914,1.1244,1.1235
0004-3157556-96-20 .png,0.3026,0.6366,0.6327
0004-3426930-1-5.png,0.3117,0.8478,0.8259
0004-3426930-2-12.png,0.289,0.8718,0.8374
0005-3157556-105-6.png,0.4039,0.8333,0.8254
0005-3157556-106-6.png,0.3586,0.7827,0.7746
0005-3157556-107-10.png,0.9882,1.5035,1.462
0005-3157556-139-1.png,0.3066,0.6602,0.6484
0005-3157556-142-1.png,0.2415,0.6001,0.5901
0005-3157556-1594-2.png,1.074,1.5511,1.5383
0005-3157556-174-17.png,0.7458,1.1019,1.1078
0005-3157556-189-18.png,0.6351,1.1181,1.1009
0005-3157556-192-11.png,0.6884,1.0142,1.0211
0005-3157556-193-11.png,0.7831,1.252,1.227
0005-3157556-195-11.png,0.7733,1.1752,1.1707
0005-3157556-195-18.png,0.5727,1.0366,1.0162
0005-3157556-203-3.png,0.3064,0.6807,0.6607
0005-3157556-211-11.png,1.1051,1.5282,1.5249
0005-3157556-213-3.png,0.8453,1.3765,1.3641
0005-3157556-217-3.png,0.6395,1.1676,1.163
0005-3157556-229-8.png,0.2821,0.6242,0.6164
0005-3157556-231-8.png,0.2199,0.543,0.5249
0005-3157556-243-8.png,0.3056,0.8234,0.7946
0005-3157556-244-4.png,0.7765,1.2114,1.1997
0005-3157556-247-8.png,0.2243,0.6561,0.6359
0005-3157556-248-14.png,0.7787,1.2831,1.2818
0005-3157556-257-1.png,0.1783,0.3755,0.3585
0005-3157556-268-9.png,0.2906,0.6917,0.6744
0005-3157556-288-9.png,0.3182,0.675,0.6626
0005-3157556-291-9.png,0.3245,0.7862,0.7791
0005-3157556-299-9.png,0.399,0.8649,0.8683
0005-3157556-517-19.png,0.4646,0.9619,0.9403
0005-3157556-73-7.png,0.3456,0.8109,0.8449
0005-3157556-86-15.png,0.9737,1.3858,1.3858
0005-3157556-87-15.png,1.1428,1.5771,1.5822
0005-3157556-92-13.png,0.8452,1.3552,1.3406
0005-3426930-1-5.png,0.8154,1.4037,1.3524
0005-3426930-2-12.png,0.9475,1.489,1.4638
0005-3426930-3-12.png,0.4607,1.0509,1.031
0006-3157556-100-13.png,0.7542,1.237,1.2118
0006-3157556-101-13.png,0.7633,1.2834,1.2601
0006-3157556-1801-2.png,1.1199,1.5847,1.5849
0006-3157556-1833-2.png,1.0942,1.5785,1.5772
0006-3157556-196-17.png,0.9052,1.3632,1.3707
0006-3157556-206-17.png,0.8299,1.297,1.2742
0006-3157556-207-17.png,0.8474,1.3283,1.331
0006-3157556-208-17.png,0.7082,1.0549,1.0653
0006-3157556-209-18.png,0.7618,1.2345,1.2054
0006-3157556-213-17.png,0.7434,1.1957,1.1998
0006-3157556-215-11.png,0.6952,1.0555,1.0523
0006-3157556-226-18.png,0.7314,1.2524,1.2274
0006-3157556-232-11.png,0.7153,1.1557,1.1545
0006-3157556-240-3.png,0.3835,0.7919,0.769
0006-3157556-272-4.png,0.8682,1.3588,1.3344
0006-3157556-273-4.png,0.8674,1.319,1.2978
0006-3157556-274-8.png,0.2152,0.5678,0.5547
0006-3157556-297-4.png,0.8365,1.2621,1.273
0006-3157556-309-9.png,0.2527,0.6584,0.6503
0006-3157556-588-19.png,0.6063,1.1527,1.1155
0006-3157556-596-19.png,0.4176,0.9067,0.8678
0006-3157556-615-19.png,0.6079,1.1561,1.1157
0006-3157556-616-19.png,0.5219,1.0484,1.0113
0006-3157556-72-16.png,0.4087,0.7549,0.7735
0006-3157556-9-12.png,0.6344,1.088,1.0689
0006-3157556-91-15.png,1.1903,1.6087,1.5957
0006-3157556-91-7.png,0.4291,0.8867,0.9197
0006-3157556-95-7.png,0.4697,0.93,0.963
0006-3426930-1-12.png,0.312,0.8448,0.8048
0006-3426930-2-12.png,0.8827,1.4366,1.4271
0007-3157556-103-18.png,0.2566,0.6699,0.649
0007-3157556-108-11.png,0.6622,1.0094,1.02
0007-3157556-119-14.png,0.6843,1.1576,1.1529
0007-3157556-12-18.png,0.3861,0.9321,0.9292
0007-3157556-120-14.png,0.579,1.1286,1.1324
0007-3157556-13-14.png,0.8704,1.3238,1.3187
0007-3157556-139-14.png,0.4273,0.8467,0.8575
0007-3157556-316-19.png,0.2882,0.7687,0.7468
0007-3157556-39-7.png,0.3828,0.8472,0.8571
0007-3157556-40-16.png,0.4537,0.8818,0.879
0007-3157556-42-16.png,0.3516,0.7613,0.7791
0007-3157556-48-12.png,0.4405,0.9566,0.9298
0007-3157556-49-13.png,0.6254,1.1981,1.1658
0007-3157556-579-21.png,0.2949,0.7173,0.717
0007-3157556-91-17.png,0.7471,1.1589,1.1834
0007-3249138-10-7.png,0.617,1.2353,1.2068
0007-3249138-1040-19.png,0.3838,1.1949,1.0933
0007-3249138-11-16.png,0.6889,1.3198,1.2688
0007-3249138-11-17.png,0.768,1.2918,1.2599
0007-3249138-112-19.png,0.4656,1.2193,1.1236
0007-3249138-12-14.png,0.646,1.2685,1.2559
0007-3249138-12-7.png,0.5334,1.1068,1.1008
0007-3249138-13-17.png,1.0361,1.5176,1.5049
0007-3249138-132-21.png,0.3527,1.0408,1.0013
0007-3249138-137-21.png,0.4097,1.1694,1.124
0007-3249138-15-16.png,0.6108,1.1807,1.1271
0007-3249138-16-12.png,0.5542,1.2233,1.1861
0007-3249138-16-15.png,0.6595,1.279,1.207
0007-3249138-18-1.png,0.4801,0.9012,0.9056
0007-3249138-18-13.png,0.5395,1.1554,1.0777
0007-3249138-18-16.png,0.8151,1.4913,1.4238
0007-3249138-185-21.png,0.3235,0.9308,0.926
0007-3249138-186-21.png,0.3595,1.0394,0.9944
0007-3249138-19-3.png,0.4602,1.2665,1.1594
0007-3249138-190-21.png,0.3449,0.9942,0.973
0007-3249138-203-20 .png,0.4514,1.1073,1.0717
0007-3249138-204-20 .png,0.5959,1.2017,1.1907
0007-3249138-21-13.png,0.6341,1.3055,1.2223
0007-3249138-22-11.png,0.7333,1.2962,1.2656
0007-3249138-23-1.png,0.4166,0.8205,0.812
0007-3249138-23-8.png,0.373,1.1951,1.1067
0007-3249138-234-2.png,1.303,1.6615,1.6758
0007-3249138-24-1.png,0.4615,0.89,0.9251
0007-3249138-26-3.png,0.5453,1.2865,1.231
0007-3249138-26-8.png,0.2391,1.0265,0.9308
0007-3249138-2829-2.png,1.3492,1.6878,1.702
0007-3249138-30-18.png,0.3322,1.0918,1.0162
0007-3249138-30-7.png,0.5734,1.1598,1.1407
0007-3249138-307-17.png,0.8089,1.3198,1.3073
0007-3249138-31-17.png,0.7845,1.3675,1.3412
0007-3249138-31-20 .png,0.4102,1.0034,1.0072
0007-3249138-32-8.png,0.3323,1.0917,1.0004
0007-3249138-33-14.png,0.6231,1.3186,1.2755
0007-3249138-367-11.png,0.8041,1.2524,1.2323
0007-3249138-39-14.png,0.6101,1.3057,1.2864
0007-3249138-39-17.png,0.6528,1.2053,1.1852
0007-3249138-42-3.png,0.5952,1.4135,1.3113
0007-3249138-43-3.png,0.7099,1.4397,1.3607
0007-3249138-43-4.png,1.0602,1.4778,1.493
0007-3249138-43-8.png,0.4691,1.3376,1.2197
0007-3249138-47-3.png,0.566,1.3778,1.2888
0007-3249138-49-14.png,0.5535,1.2372,1.193
0007-3249138-5-12.png,0.4847,1.2392,1.1983
0007-3249138-50-11.png,0.8924,1.4236,1.3901
0007-3249138-50-4.png,0.9173,1.3658,1.3869
0007-3249138-505-9.png,0.4873,1.2375,1.1783
0007-3249138-507-9.png,0.5847,1.3027,1.2532
0007-3249138-51-11.png,0.7016,1.1777,1.1716
0007-3249138-51-18.png,0.2888,1.1363,1.0372
0007-3249138-510-9.png,0.5877,1.3061,1.2419
0007-3249138-511-9.png,0.4602,1.125,1.0643
0007-3249138-512-9.png,0.4621,1.2809,1.2036
0007-3249138-54-18.png,0.3497,1.0451,1.0059
0007-3249138-57-19.png,0.5289,1.2315,1.1517
0007-3249138-59-14.png,0.5898,1.1929,1.1926
0007-3249138-6-10.png,0.4266,1.3041,1.2244
0007-3249138-6-16.png,0.7761,1.4317,1.3738
0007-3249138-607-14.png,0.7179,1.3473,1.3358
0007-3249138-63-4.png,1.0333,1.4727,1.4891
0007-3249138-64-19.png,0.4554,1.1923,1.1213
0007-3249138-69-14.png,0.7931,1.4181,1.4011
0007-3249138-7-11.png,0.5962,1.074,1.0554
0007-3249138-7-7.png,0.5138,1.1163,1.0825
0007-3249138-9-16.png,0.5894,1.2286,1.1685
0007-3249138-9-18.png,0.4368,1.1955,1.1028
0007-3249138-9-6.png,0.2496,1.0099,0.9329
0007-3249138-9-7.png,0.3119,1.1061,1.0284
0007-3249138-97-19.png,0.4345,1.2008,1.1306
0007-3426930-2-12.png,0.3894,0.9919,0.9464
0007-3426930-3-5.png,0.374,0.9134,0.9063
0007-3426930-4-6.png,0.2143,0.8411,0.7977
0008-3157556-115-11.png,0.6018,1.036,1.0148
0008-3157556-123-3.png,0.2203,0.6915,0.6775
0008-3157556-139-4.png,0.7771,1.1634,1.1751
0008-3157556-139-8.png,0.1888,0.5472,0.5323
0008-3157556-155-4.png,0.7031,1.0998,1.0954
0008-3157556-19-17.png,0.5553,0.956,0.9227
0008-3157556-354-19.png,0.3809,0.9741,0.9148
0008-3157556-41-7.png,0.389,0.8015,0.8119
0008-3157556-44-16.png,0.5348,1.0139,1.0211
0008-3157556-60-15.png,0.7206,1.2979,1.2533
0008-3157556-77-6.png,0.293,0.6812,0.6913
0008-3249138-102-9.png,0.6287,1.389,1.3261
0008-3249138-104-14.png,0.7148,1.3944,1.347
0008-3249138-117-15.png,1.3365,1.7033,1.7048
0008-3249138-15-10.png,0.4397,1.298,1.1887
0008-3249138-171-20 .png,0.4387,1.0374,1.0448
0008-3249138-172-20 .png,0.4395,1.0215,0.9913
0008-3249138-176-6.png,0.4769,1.1885,1.1308
0008-3249138-1873-21.png,0.4501,1.1164,1.0547
0008-3249138-1880-21.png,0.5276,1.2039,1.1774
0008-3249138-24-15.png,0.9127,1.3544,1.3199
0008-3249138-24-6.png,0.459,1.0775,1.0424
0008-3249138-27-15.png,0.7378,1.38,1.2875
0008-3249138-28-15.png,1.1328,1.6255,1.617
0008-3249138-293-11.png,0.6086,1.0309,1.0313
0008-3249138-296-11.png,0.7063,1.1917,1.1667
0008-3249138-304-11.png,0.7752,1.2086,1.2075
0008-3249138-322-3.png,0.7227,1.4683,1.3884
0008-3249138-33-12.png,0.5498,1.2362,1.1767
0008-3249138-335-21.png,0.4426,1.1745,1.1132
0008-3249138-367-8.png,0.385,1.1885,1.0705
0008-3249138-38-1.png,0.4483,0.8665,0.8542
0008-3249138-39-20 .png,0.4761,1.0718,1.0396
0008-3249138-397-4.png,0.96,1.4028,1.3852
0008-3249138-407-4.png,1.0654,1.5075,1.4921
0008-3249138-409-9.png,0.4704,1.2795,1.1945
0008-3249138-42-13.png,0.8381,1.5172,1.4297
0008-3249138-44-13.png,0.6416,1.3387,1.2474
0008-3249138-447-21.png,0.4394,1.0931,1.0579
0008-3249138-51-3.png,0.6707,1.4831,1.3663
0008-3249138-56-11.png,0.9978,1.4976,1.4866
0008-3249138-59-9.png,0.4979,1.3212,1.2393
0008-3249138-590-2.png,1.3785,1.7256,1.7284
0008-3249138-63-11.png,0.686,1.1783,1.1569
0008-3249138-63-9.png,0.4668,1.1921,1.1395
0008-3249138-81-4.png,1.184,1.5691,1.5789
0008-3249138-88-14.png,0.8556,1.4963,1.4616
0008-3249138-95-4.png,1.1153,1.5244,1.5228
0008-3249138-98-4.png,1.2551,1.6571,1.6542
0009-3157556-12-15.png,0.617,1.1587,1.1438
0009-3157556-121-17.png,0.6041,1.031,1.0478
0009-3157556-130-18.png,0.3772,0.7978,0.783
0009-3157556-138-18.png,0.3445,0.7254,0.7222
0009-3157556-172-14.png,0.661,1.1718,1.1847
0009-3157556-172-8.png,0.2249,0.5897,0.5818
0009-3157556-173-14.png,0.7149,1.2663,1.277
0009-3157556-19-9.png,0.2273,0.637,0.6176
0009-3157556-193-4.png,0.721,1.1469,1.1798
0009-3157556-194-14.png,0.7236,1.3066,1.3073
0009-3157556-205-14.png,0.8384,1.3732,1.3597
0009-3157556-40-5.png,0.4457,0.8958,0.9131
0009-3157556-63-12.png,0.7892,1.2313,1.2354
0009-3157556-70-15.png,0.6707,1.0868,1.0943
0009-3157556-71-15.png,0.8354,1.395,1.3794
0009-3157556-786-21.png,0.1659,0.4797,0.4787
0009-3249138-1-13.png,0.7051,1.3038,1.217
0009-3249138-1-7.png,0.4675,1.0261,0.9973
0009-3249138-1027-19.png,0.3784,1.1556,1.0626
0009-3249138-105-5.png,0.5339,1.1758,1.1394
0009-3249138-118-15.png,0.8133,1.3076,1.2745
0009-3249138-124-15.png,1.0308,1.5403,1.5265
0009-3249138-129-16.png,0.8924,1.4962,1.4633
0009-3249138-137-7.png,0.554,1.1429,1.1142
0009-3249138-147-12.png,0.2804,1.06,0.9936
0009-3249138-163-1.png,0.4178,0.7825,0.7725
0009-3249138-192-20 .png,0.3351,0.8178,0.8179
0009-3249138-2-11.png,0.8997,1.4474,1.4261
0009-3249138-200-20 .png,0.3643,0.9211,0.9286
0009-3249138-202-20 .png,0.3676,1.0051,0.9676
0009-3249138-2123-21.png,0.3778,1.046,1.0115
0009-3249138-2135-21.png,0.3614,1.1119,1.0523
0009-3249138-258-17.png,0.7712,1.3224,1.3101
0009-3249138-3-8.png,0.3402,1.2748,1.1479
0009-3249138-329-3.png,0.4111,1.2535,1.1377
0009-3249138-337-11.png,1.0376,1.5813,1.5419
0009-3249138-340-3.png,0.4006,1.2265,1.1185
0009-3249138-380-8.png,0.3135,1.1954,1.0712
0009-3249138-395-18.png,0.4212,1.1674,1.0967
0009-3249138-400-8.png,0.2409,1.079,0.9824
0009-3249138-409-8.png,0.3318,1.2528,1.1322
0009-3249138-418-9.png,0.4847,1.2666,1.2001
0009-3249138-439-8.png,0.2498,1.2043,1.0766
0009-3249138-440-4.png,1.1531,1.5662,1.5821
0009-3249138-450-9.png,0.378,1.1852,1.1095
0009-3249138-452-18.png,0.4052,1.222,1.1524
0009-3249138-5-11.png,0.9828,1.4595,1.4747
0009-3249138-513-9.png,0.4963,1.3278,1.2432
0009-3249138-519-14.png,0.9647,1.5338,1.531
0009-3249138-525-14.png,0.9187,1.5202,1.5001
0009-3249138-95-5.png,0.5734,1.2406,1.1847
0009-3249138-957-19.png,0.487,1.2476,1.1407
0009-3249138-97-10.png,0.4791,1.289,1.2005
0009-3426930-1-12.png,0.1452,0.8325,0.7809
0010-3157556-110-1.png,0.2601,0.5963,0.6037
0010-3157556-169-3.png,0.1524,0.5887,0.5633
0010-3157556-173-18.png,0.3748,0.8441,0.8276
0010-3157556-179-11.png,0.73,1.1973,1.1948
