image,histogram,distanceHistogram,zigZagDistanceHistogram
0003-3157556-152-13.png,0.8115,1.3874,1.3584
0003-3157556-1669-21.png,0.4752,0.9296,0.9088
0003-3157556-1671-21.png,0.5403,1.0347,0.9789
0003-3157556-1675-21.png,0.3804,0.9518,0.9063
0003-3157556-1682-21.png,0.4051,0.9131,0.8643
0003-3157556-178-6.png,0.561,0.997,0.9835
0003-3157556-274-17.png,0.7553,1.2386,1.2083
0003-3157556-275-17.png,0.6105,1.0869,1.0693
0003-3157556-308-3.png,0.5235,0.9321,0.9276
0003-3157556-374-8.png,0.4532,0.8973,0.898
0003-3157556-383-4.png,0.9552,1.4056,1.4345
0003-3157556-444-9.png,0.4272,0.9775,0.9567
0003-3157556-445-9.png,0.493,1.0886,1.0413
0003-3157556-976-19.png,0.4329,0.9909,0.9398
0004-3157556-1001-21.png,0.3165,0.7302,0.6832
0004-3157556-1007-21.png,0.5091,0.995,0.9523
0004-3157556-1008-21.png,0.6102,1.0943,1.075
0004-3157556-1016-21.png,0.233,0.686,0.6236
0004-3157556-128-15.png,1.0861,1.5465,1.4905
0004-3157556-131-16.png,0.723,1.2726,1.2234
0004-3157556-170-17.png,0.5262,0.9022,0.8743
0004-3157556-1737-21.png,0.2962,0.7401,0.7245
0004-3157556-176-18.png,0.1514,0.4966,0.4472
0004-3157556-209-1.png,0.7148,1.1826,1.1802
0004-3157556-211-1.png,0.6664,1.1898,1.1494
0004-3157556-2561-2.png,1.5731,1.8802,1.8624
0004-3157556-320-18.png,0.2925,0.6239,0.5875
0004-3157556-383-11.png,0.4492,0.8787,0.873
0004-3157556-390-18.png,0.2034,0.488,0.4599
0004-3157556-465-9.png,0.8091,1.3157,1.2896
0004-3157556-466-9.png,0.6656,1.2269,1.1973
0004-3157556-497-19.png,0.8508,1.3475,1.3094
0004-3157556-498-19.png,0.7487,1.2747,1.2526
0004-3157556-503-19.png,1.0052,1.5141,1.4641
0004-3157556-83-15.png,0.6544,1.1609,1.1371
0004-3157556-88-10.png,0.4771,0.9606,0.9504
0004-3157556-92-5.png,0.5631,1.0337,1.0048
0004-3157556-96-20 .png,0.6575,1.1454,1.115
0004-3426930-1-5.png,0.6518,1.0804,1.0607
0004-3426930-2-12.png,0.4619,0.9358,0.8969
0005-3157556-105-6.png,0.2027,0.5766,0.5787
0005-3157556-106-6.png,0.3778,0.7809,0.7709
0005-3157556-107-10.png,0.5248,0.9912,0.9336
0005-3157556-139-1.png,0.2099,0.4887,0.4727
0005-3157556-142-1.png,0.2699,0.5861,0.5946
0005-3157556-1594-2.png,1.0629,1.5651,1.5476
