image,histogram,distanceHistogram,zigZagDistanceHistogram
0003-3157556-152-13.png,0.7031,1.2647,1.1658
0003-3157556-1669-21.png,0.6244,1.2439,1.2088
0003-3157556-1671-21.png,0.5777,1.0888,1.0477
0003-3157556-1675-21.png,0.5682,1.2239,1.1673
0003-3157556-1682-21.png,0.6501,1.2016,1.1813
0003-3157556-178-6.png,0.6791,1.1626,1.1113
0003-3157556-274-17.png,0.6909,1.1534,1.1038
0003-3157556-275-17.png,1.0175,1.5078,1.4823
0003-3157556-308-3.png,0.7484,1.1185,1.033
0003-3157556-374-8.png,0.5641,1.0492,0.9461
0003-3157556-383-4.png,1.1262,1.5881,1.5736
0003-3157556-444-9.png,0.7547,1.2226,1.1913
0003-3157556-445-9.png,0.4814,1.0437,0.9484
0003-3157556-976-19.png,0.7108,1.2034,1.1114
0004-3157556-1001-21.png,0.8892,1.3891,1.378
0004-3157556-1007-21.png,0.5272,1.0949,1.0471
0004-3157556-1008-21.png,0.5926,1.1662,1.1306
0004-3157556-1016-21.png,0.8968,1.4295,1.4407
0004-3157556-128-15.png,0.5197,0.9725,0.8925
0004-3157556-131-16.png,0.2247,0.8273,0.7391
0004-3157556-170-17.png,1.0412,1.469,1.4382
0004-3157556-1737-21.png,1.0477,1.5281,1.5097
0004-3157556-176-18.png,1.1461,1.5721,1.5483
0004-3157556-209-1.png,0.2912,1.0456,0.9342
0004-3157556-211-1.png,0.3199,0.8581,0.7687
0004-3157556-2561-2.png,1.0907,1.5427,1.502
0004-3157556-320-18.png,0.8148,1.3084,1.2405
0004-3157556-383-11.png,1.0976,1.6073,1.5549
0004-3157556-390-18.png,0.8963,1.3076,1.2233
0004-3157556-465-9.png,0.3537,0.8475,0.7733
0004-3157556-466-9.png,0.3223,0.8601,0.7646
0004-3157556-497-19.png,0.4112,0.9963,0.9008
0004-3157556-498-19.png,0.4587,0.8779,0.7885
0004-3157556-503-19.png,0.2885,0.7078,0.6034
0004-3157556-83-15.png,1.222,1.5826,1.5363
0004-3157556-88-10.png,0.8434,1.2322,1.1801
0004-3157556-92-5.png,0.7969,1.3071,1.2923
0004-3157556-96-20 .png,0.553,1.2375,1.1502
0004-3426930-1-5.png,0.5889,1.0814,1.0195
0004-3426930-2-12.png,0.4733,0.9798,0.8786
0005-3157556-105-6.png,1.0303,1.597,1.5451
0005-3157556-106-6.png,0.918,1.4462,1.4008
0005-3157556-107-10.png,1.6029,1.8507,1.8196
0005-3157556-139-1.png,0.7727,1.3787,1.3232
0005-3157556-142-1.png,0.6825,1.3831,1.3339
0005-3157556-1594-2.png,1.5021,1.809,1.7823
0005-3157556-174-17.png,1.2369,1.6957,1.6482
0005-3157556-189-18.png,1.3132,1.7458,1.7147
0005-3157556-192-11.png,1.2318,1.7048,1.6596
0005-3157556-193-11.png,1.3111,1.7067,1.6521
0005-3157556-195-11.png,1.3112,1.7352,1.7015
0005-3157556-195-18.png,1.1891,1.6549,1.6257
0005-3157556-203-3.png,0.8935,1.5424,1.4632
0005-3157556-211-11.png,1.5653,1.8807,1.8523
0005-3157556-213-3.png,1.4281,1.756,1.722
0005-3157556-217-3.png,1.2706,1.7379,1.7144
0005-3157556-229-8.png,0.7854,1.4503,1.3745
0005-3157556-231-8.png,0.7719,1.4061,1.3206
0005-3157556-243-8.png,0.874,1.3814,1.3089
0005-3157556-244-4.png,1.2823,1.7421,1.7148
0005-3157556-247-8.png,0.7847,1.3733,1.3072
0005-3157556-248-14.png,1.3763,1.7268,1.7099
0005-3157556-257-1.png,0.6572,1.4504,1.3578
0005-3157556-268-9.png,0.7718,1.3281,1.2393
0005-3157556-288-9.png,0.9288,1.454,1.3736
0005-3157556-291-9.png,0.8429,1.4028,1.3474
0005-3157556-299-9.png,0.9715,1.4673,1.4443
0005-3157556-517-19.png,1.004,1.5382,1.4669
0005-3157556-73-7.png,0.7654,1.4501,1.4342
0005-3157556-86-15.png,1.4702,1.82,1.7868
0005-3157556-87-15.png,1.5754,1.8872,1.8651
0005-3157556-92-13.png,1.3734,1.7351,1.7051
0005-3426930-1-5.png,1.4897,1.7537,1.716
0005-3426930-2-12.png,1.5319,1.7886,1.7721
0005-3426930-3-12.png,0.9582,1.4438,1.4005
0006-3157556-100-13.png,1.3737,1.7436,1.7104
0006-3157556-101-13.png,1.3333,1.7109,1.67
0006-3157556-1801-2.png,1.4596,1.8222,1.7884
0006-3157556-1833-2.png,1.4702,1.8239,1.7919
0006-3157556-196-17.png,1.3762,1.7966,1.7653
0006-3157556-206-17.png,1.3973,1.8029,1.7692
0006-3157556-207-17.png,1.3787,1.7845,1.7537
0006-3157556-208-17.png,1.2309,1.6851,1.6588
0006-3157556-209-18.png,1.4499,1.7982,1.7623
0006-3157556-213-17.png,1.2338,1.7054,1.6716
0006-3157556-215-11.png,1.2413,1.6895,1.6474
0006-3157556-226-18.png,1.3759,1.7869,1.754
0006-3157556-232-11.png,1.2068,1.6781,1.6407
0006-3157556-240-3.png,0.9389,1.4953,1.4217
0006-3157556-272-4.png,1.4085,1.7804,1.7291
0006-3157556-273-4.png,1.3764,1.7461,1.7025
0006-3157556-274-8.png,0.7229,1.3988,1.3029
0006-3157556-297-4.png,1.272,1.7198,1.6796
0006-3157556-309-9.png,0.6392,1.3345,1.2968
0006-3157556-588-19.png,1.2224,1.6764,1.6208
0006-3157556-596-19.png,1.0373,1.5415,1.4669
0006-3157556-615-19.png,1.2569,1.7055,1.6496
0006-3157556-616-19.png,1.1523,1.597,1.5359
0006-3157556-72-16.png,0.7222,1.3607,1.3263
0006-3157556-9-12.png,1.1508,1.6062,1.544
0006-3157556-91-15.png,1.664,1.8729,1.8442
0006-3157556-91-7.png,0.8437,1.4576,1.4577
0006-3157556-95-7.png,0.9578,1.5469,1.5267
0006-3426930-1-12.png,0.7398,1.1411,1.0432
0006-3426930-2-12.png,1.475,1.765,1.749
0007-3157556-103-18.png,0.7076,1.296,1.2341
0007-3157556-108-11.png,1.2049,1.6739,1.6337
0007-3157556-119-14.png,1.2667,1.6682,1.6407
0007-3157556-12-18.png,0.9015,1.4199,1.3884
0007-3157556-120-14.png,1.0658,1.5036,1.4754
0007-3157556-13-14.png,1.4461,1.7795,1.743
0007-3157556-139-14.png,0.7525,1.2451,1.1838
0007-3157556-316-19.png,0.8031,1.3711,1.3119
0007-3157556-39-7.png,0.5652,1.1855,1.1504
0007-3157556-40-16.png,0.7132,1.3067,1.2827
0007-3157556-42-16.png,0.5021,1.1361,1.098
0007-3157556-48-12.png,0.9041,1.5254,1.4386
0007-3157556-49-13.png,1.181,1.6204,1.5686
0007-3157556-579-21.png,0.779,1.3218,1.2889
0007-3157556-91-17.png,1.1715,1.6245,1.6101
0007-3249138-10-7.png,0.2694,0.727,0.6659
0007-3249138-1040-19.png,0.1844,0.4231,0.3574
0007-3249138-11-16.png,0.5423,0.999,0.9138
0007-3249138-11-17.png,0.4473,0.7149,0.6773
0007-3249138-112-19.png,0.3188,0.623,0.5709
0007-3249138-12-14.png,0.5845,0.9702,0.9371
0007-3249138-12-7.png,0.1965,0.5807,0.5381
0007-3249138-13-17.png,0.6902,1.0791,1.0688
0007-3249138-132-21.png,0.1495,0.4376,0.3568
0007-3249138-137-21.png,0.1291,0.373,0.3242
0007-3249138-15-16.png,0.4872,0.8866,0.8287
0007-3249138-16-12.png,0.2931,0.5689,0.5181
0007-3249138-16-15.png,0.4596,0.727,0.6716
0007-3249138-18-1.png,0.262,0.8304,0.7189
0007-3249138-18-13.png,0.4384,0.8039,0.6972
0007-3249138-18-16.png,0.5152,0.7364,0.6958
0007-3249138-185-21.png,0.2146,0.5834,0.5239
0007-3249138-186-21.png,0.1354,0.4166,0.3691
0007-3249138-19-3.png,0.2385,0.4253,0.3596
0007-3249138-190-21.png,0.2014,0.54,0.4995
0007-3249138-203-20 .png,0.2794,0.6856,0.611
0007-3249138-204-20 .png,0.3385,0.7928,0.7272
0007-3249138-21-13.png,0.4812,0.7766,0.7161
0007-3249138-22-11.png,0.5237,0.8713,0.8274
0007-3249138-23-1.png,0.1493,0.7268,0.5955
0007-3249138-23-8.png,0.2443,0.5626,0.4963
0007-3249138-234-2.png,1.0668,1.4675,1.4528
0007-3249138-24-1.png,0.3199,0.7576,0.7043
0007-3249138-26-3.png,0.4385,0.7443,0.6662
0007-3249138-26-8.png,0.2047,0.5266,0.4455
0007-3249138-2829-2.png,1.0725,1.463,1.4522
0007-3249138-30-18.png,0.1674,0.4273,0.3448
0007-3249138-30-7.png,0.2122,0.5565,0.501
0007-3249138-307-17.png,0.4736,0.8454,0.815
0007-3249138-31-17.png,0.4626,0.8624,0.8303
0007-3249138-31-20 .png,0.3638,0.7468,0.698
0007-3249138-32-8.png,0.1745,0.5554,0.4468
0007-3249138-33-14.png,0.6737,1.0523,1.0057
0007-3249138-367-11.png,0.5115,0.9069,0.8454
0007-3249138-39-14.png,0.4968,0.8323,0.795
0007-3249138-39-17.png,0.4413,0.7988,0.7655
0007-3249138-42-3.png,0.3431,0.5261,0.4691
0007-3249138-43-3.png,0.4935,0.7026,0.6553
0007-3249138-43-4.png,0.8873,1.237,1.2396
0007-3249138-43-8.png,0.2375,0.5326,0.4406
0007-3249138-47-3.png,0.2996,0.6093,0.5368
0007-3249138-49-14.png,0.555,0.8374,0.7973
0007-3249138-5-12.png,0.1736,0.6103,0.5248
0007-3249138-50-11.png,0.7853,1.0412,1.033
0007-3249138-50-4.png,0.7353,1.1617,1.1599
0007-3249138-505-9.png,0.2032,0.5217,0.4446
0007-3249138-507-9.png,0.2857,0.6167,0.5556
0007-3249138-51-11.png,0.423,0.7813,0.7353
0007-3249138-51-18.png,0.2664,0.6044,0.5568
0007-3249138-510-9.png,0.1901,0.4993,0.4227
0007-3249138-511-9.png,0.1266,0.3715,0.2652
0007-3249138-512-9.png,0.2985,0.5974,0.5272
0007-3249138-54-18.png,0.2096,0.4996,0.4291
0007-3249138-57-19.png,0.382,0.765,0.6614
0007-3249138-59-14.png,0.6386,1.04,1.0267
0007-3249138-6-10.png,0.1947,0.3655,0.3278
0007-3249138-6-16.png,0.4769,0.7741,0.7092
0007-3249138-607-14.png,0.7613,1.1503,1.1284
0007-3249138-63-4.png,0.8514,1.2847,1.2791
0007-3249138-64-19.png,0.3257,0.6446,0.5752
0007-3249138-69-14.png,0.6388,1.0417,1.0042
0007-3249138-7-11.png,0.5145,0.9325,0.8965
0007-3249138-7-7.png,0.2614,0.6147,0.5584
0007-3249138-9-16.png,0.4768,0.824,0.7723
0007-3249138-9-18.png,0.1364,0.4048,0.3399
0007-3249138-9-6.png,0.2974,0.5414,0.4913
0007-3249138-9-7.png,0.0829,0.3055,0.2468
0007-3249138-97-19.png,0.2676,0.5792,0.4857
0007-3426930-2-12.png,0.7826,1.1764,1.064
0007-3426930-3-5.png,0.7695,1.2227,1.2023
0007-3426930-4-6.png,0.6437,1.1009,1.0245
0008-3157556-115-11.png,0.5218,1.1372,1.0303
0008-3157556-123-3.png,0.3016,0.826,0.691
0008-3157556-139-4.png,0.5864,1.2575,1.204
0008-3157556-139-8.png,0.5684,1.228,1.1078
0008-3157556-155-4.png,0.555,1.1685,1.1017
0008-3157556-19-17.png,0.268,0.8438,0.7207
0008-3157556-354-19.png,0.2778,0.7521,0.6313
0008-3157556-41-7.png,0.3452,0.9273,0.8518
0008-3157556-44-16.png,0.3213,0.8854,0.812
0008-3157556-60-15.png,0.5556,1.11,1.0042
0008-3157556-77-6.png,0.5159,1.1235,1.0558
0008-3249138-102-9.png,0.187,0.4503,0.3907
0008-3249138-104-14.png,0.5988,0.9083,0.8568
0008-3249138-117-15.png,1.0516,1.3925,1.3739
0008-3249138-15-10.png,0.1372,0.3503,0.2817
0008-3249138-171-20 .png,0.317,0.6931,0.6667
0008-3249138-172-20 .png,0.2245,0.6306,0.5534
0008-3249138-176-6.png,0.1998,0.394,0.3239
0008-3249138-1873-21.png,0.1034,0.4372,0.3421
0008-3249138-1880-21.png,0.1944,0.5492,0.4987
0008-3249138-24-15.png,0.5583,0.7753,0.7593
0008-3249138-24-6.png,0.1873,0.4808,0.4044
0008-3249138-27-15.png,0.4159,0.6161,0.5734
0008-3249138-28-15.png,0.9152,1.2965,1.2945
0008-3249138-293-11.png,0.3453,0.6902,0.6521
0008-3249138-296-11.png,0.4365,0.7309,0.6879
0008-3249138-304-11.png,0.4488,0.7953,0.759
0008-3249138-322-3.png,0.4869,0.7595,0.685
0008-3249138-33-12.png,0.1663,0.3567,0.3031
0008-3249138-335-21.png,0.1371,0.4446,0.3648
0008-3249138-367-8.png,0.1821,0.6007,0.4699
0008-3249138-38-1.png,0.1853,0.8182,0.6803
0008-3249138-39-20 .png,0.2264,0.5864,0.5022
0008-3249138-397-4.png,0.7096,1.108,1.0788
0008-3249138-407-4.png,0.7391,1.0918,1.0665
0008-3249138-409-9.png,0.2395,0.5965,0.492
0008-3249138-42-13.png,0.457,0.7292,0.6472
0008-3249138-44-13.png,0.3056,0.4973,0.4184
0008-3249138-447-21.png,0.147,0.451,0.3674
0008-3249138-51-3.png,0.3792,0.669,0.5763
0008-3249138-56-11.png,0.7224,1.1742,1.1555
0008-3249138-59-9.png,0.1713,0.4344,0.3577
0008-3249138-590-2.png,1.0771,1.4664,1.4402
0008-3249138-63-11.png,0.3933,0.6931,0.6422
0008-3249138-63-9.png,0.2233,0.528,0.4449
0008-3249138-81-4.png,0.877,1.2878,1.2818
0008-3249138-88-14.png,0.6652,1.0107,0.9721
0008-3249138-95-4.png,0.7957,1.2214,1.2029
0008-3249138-98-4.png,0.947,1.3389,1.3327
0009-3157556-12-15.png,0.9105,1.4478,1.3694
0009-3157556-121-17.png,1.0259,1.5567,1.5301
0009-3157556-130-18.png,1.0161,1.5097,1.4676
0009-3157556-138-18.png,0.8319,1.4491,1.4073
0009-3157556-172-14.png,1.2333,1.5941,1.597
0009-3157556-172-8.png,0.5503,1.2267,1.1035
0009-3157556-173-14.png,1.2473,1.6297,1.6375
0009-3157556-19-9.png,0.6094,1.1701,1.0895
0009-3157556-193-4.png,1.0161,1.5294,1.513
0009-3157556-194-14.png,1.2619,1.6275,1.6161
0009-3157556-205-14.png,1.4627,1.7724,1.7546
0009-3157556-40-5.png,0.9907,1.5096,1.4749
0009-3157556-63-12.png,1.3705,1.7353,1.7003
0009-3157556-70-15.png,1.12,1.5943,1.5508
0009-3157556-71-15.png,1.3234,1.6541,1.6154
0009-3157556-786-21.png,0.6392,1.2336,1.1552
0009-3249138-1-13.png,0.5622,0.9198,0.84
0009-3249138-1-7.png,0.2086,0.5779,0.5044
0009-3249138-1027-19.png,0.2774,0.537,0.4726
0009-3249138-105-5.png,0.3839,0.7429,0.6778
0009-3249138-118-15.png,0.5594,0.8514,0.8354
0009-3249138-124-15.png,0.8739,1.2286,1.2378
0009-3249138-129-16.png,0.6554,1.112,1.0755
0009-3249138-137-7.png,0.2245,0.5447,0.4931
0009-3249138-147-12.png,0.1337,0.3832,0.3146
0009-3249138-163-1.png,0.1897,0.7596,0.6204
0009-3249138-192-20 .png,0.4277,0.8995,0.8225
0009-3249138-2-11.png,0.5924,0.9776,0.9579
0009-3249138-200-20 .png,0.3447,0.6919,0.656
0009-3249138-202-20 .png,0.2942,0.6071,0.5349
0009-3249138-2123-21.png,0.1197,0.3438,0.2746
0009-3249138-2135-21.png,0.1239,0.3284,0.2713
