image,histogram,distanceHistogram,zigZagDistanceHistogram
0003-3157556-152-13.png,1.028,1.4966,1.4153
0003-3157556-1669-21.png,1.0575,1.5608,1.4862
0003-3157556-1671-21.png,1.092,1.5796,1.4617
0003-3157556-1675-21.png,0.783,1.4478,1.3299
0003-3157556-1682-21.png,0.8964,1.5112,1.4116
0003-3157556-178-6.png,0.9651,1.5249,1.4205
0003-3157556-274-17.png,0.9905,1.4171,1.3096
0003-3157556-275-17.png,0.6175,0.9815,0.881
0003-3157556-308-3.png,0.9213,1.3321,1.2713
0003-3157556-374-8.png,1.01,1.5342,1.4541
0003-3157556-383-4.png,1.2616,1.772,1.7398
0003-3157556-444-9.png,0.8869,1.4302,1.3411
0003-3157556-445-9.png,1.0577,1.6081,1.5066
0003-3157556-976-19.png,0.9601,1.4727,1.411
0004-3157556-1001-21.png,0.7248,1.3769,1.2689
0004-3157556-1007-21.png,1.126,1.6195,1.5327
0004-3157556-1008-21.png,1.1173,1.6338,1.5434
0004-3157556-1016-21.png,0.7278,1.3484,1.2287
0004-3157556-128-15.png,1.6019,1.7863,1.7192
0004-3157556-131-16.png,1.3384,1.7676,1.6932
0004-3157556-170-17.png,0.5931,1.017,0.8861
0004-3157556-1737-21.png,0.5433,1.2163,1.1123
0004-3157556-176-18.png,0.6369,1.1472,1.0212
0004-3157556-209-1.png,1.361,1.8436,1.796
0004-3157556-211-1.png,1.3568,1.796,1.721
0004-3157556-2561-2.png,1.9616,1.9991,1.9986
0004-3157556-320-18.png,0.7875,1.2524,1.1353
0004-3157556-383-11.png,0.6257,1.3357,1.2339
0004-3157556-390-18.png,0.6682,1.1504,1.0791
0004-3157556-465-9.png,1.3017,1.7251,1.6373
0004-3157556-466-9.png,1.2507,1.7666,1.6971
0004-3157556-497-19.png,1.4125,1.7314,1.671
0004-3157556-498-19.png,1.3623,1.7955,1.7642
0004-3157556-503-19.png,1.5666,1.8136,1.7556
0004-3157556-83-15.png,0.5704,0.8913,0.81
0004-3157556-88-10.png,0.8506,1.3059,1.2314
0004-3157556-92-5.png,0.9826,1.419,1.3179
0004-3157556-96-20 .png,1.1782,1.6961,1.6095
0004-3426930-1-5.png,1.2062,1.618,1.5604
0004-3426930-2-12.png,0.9213,1.3924,1.2634
0005-3157556-105-6.png,0.6544,1.3923,1.2874
0005-3157556-106-6.png,0.8627,1.5227,1.4097
0005-3157556-107-10.png,0.1669,0.4994,0.4197
0005-3157556-139-1.png,0.686,1.3621,1.26
0005-3157556-142-1.png,0.8243,1.4651,1.3879
0005-3157556-1594-2.png,1.0796,1.4934,1.4418
0005-3157556-174-17.png,0.3976,0.8957,0.8097
0005-3157556-189-18.png,0.3681,1.0616,0.9432
0005-3157556-192-11.png,0.5598,1.214,1.1183
0005-3157556-193-11.png,0.4157,0.9004,0.8084
0005-3157556-195-11.png,0.3706,0.9216,0.8259
0005-3157556-195-18.png,0.4416,1.1008,0.9947
