image,histogram,distanceHistogram,zigZagDistanceHistogram
0003-3157556-152-13.png,0.9602,1.479,1.4225
0003-3157556-1669-21.png,0.9051,1.3271,1.2809
0003-3157556-1671-21.png,0.9408,1.3574,1.2841
0003-3157556-1675-21.png,0.7372,1.3203,1.2215
0003-3157556-1682-21.png,0.7739,1.2605,1.2003
0003-3157556-178-6.png,0.8408,1.2698,1.2077
0003-3157556-274-17.png,1.0109,1.3665,1.3029
0003-3157556-275-17.png,0.5275,0.9438,0.8473
0003-3157556-308-3.png,0.9519,1.3038,1.2843
0003-3157556-374-8.png,0.9271,1.3961,1.3667
0003-3157556-383-4.png,1.1384,1.6157,1.599
0003-3157556-444-9.png,0.7583,1.1848,1.1297
0003-3157556-445-9.png,0.9048,1.4256,1.3416
0003-3157556-976-19.png,0.8603,1.3935,1.3569
0004-3157556-1001-21.png,0.641,1.1026,1.0665
0004-3157556-1007-21.png,0.9667,1.397,1.3314
0004-3157556-1008-21.png,0.9392,1.3846,1.3158
0004-3157556-1016-21.png,0.6281,1.0761,1.007
0004-3157556-128-15.png,1.5606,1.7763,1.7267
0004-3157556-131-16.png,1.2371,1.6466,1.5893
0004-3157556-170-17.png,0.4849,0.8789,0.7707
0004-3157556-1737-21.png,0.4783,0.9576,0.9136
0004-3157556-176-18.png,0.6126,0.9558,0.903
0004-3157556-209-1.png,1.2604,1.7443,1.7126
0004-3157556-211-1.png,1.2566,1.6949,1.6395
0004-3157556-2561-2.png,1.8181,1.9441,1.9249
0004-3157556-320-18.png,0.7539,1.0748,1.0296
0004-3157556-383-11.png,0.6089,1.1958,1.1422
0004-3157556-390-18.png,0.5768,0.9529,0.9302
0004-3157556-465-9.png,1.1561,1.5473,1.485
0004-3157556-466-9.png,1.1003,1.5876,1.5245
0004-3157556-497-19.png,1.3377,1.6553,1.61
0004-3157556-498-19.png,1.195,1.6357,1.6065
0004-3157556-503-19.png,1.4716,1.7612,1.7044
0004-3157556-83-15.png,0.5122,0.9118,0.8042
0004-3157556-88-10.png,0.889,1.2153,1.205
0004-3157556-92-5.png,1.0055,1.3374,1.2679
0004-3157556-96-20 .png,1.1119,1.5605,1.5108
0004-3426930-1-5.png,1.1118,1.515,1.4787
0004-3426930-2-12.png,0.9796,1.3477,1.2693
0005-3157556-105-6.png,0.5666,1.0916,1.0537
0005-3157556-106-6.png,0.7037,1.1987,1.1421
0005-3157556-107-10.png,0.039,0.2631,0.222
0005-3157556-139-1.png,0.6729,1.1806,1.143
0005-3157556-142-1.png,0.7362,1.267,1.222
0005-3157556-1594-2.png,0.7647,1.2894,1.2337
0005-3157556-174-17.png,0.2343,0.6823,0.6342
0005-3157556-189-18.png,0.3221,0.8324,0.7892
0005-3157556-192-11.png,0.3533,0.9739,0.9023
0005-3157556-193-11.png,0.2486,0.6677,0.6068
0005-3157556-195-11.png,0.253,0.7751,0.694
0005-3157556-195-18.png,0.3618,0.8577,0.8192
0005-3157556-203-3.png,0.6497,1.1397,1.0964
0005-3157556-211-11.png,0.2048,0.5506,0.4679
0005-3157556-213-3.png,0.4376,0.7236,0.7142
0005-3157556-217-3.png,0.4145,0.8696,0.8193
0005-3157556-229-8.png,0.7899,1.304,1.2745
0005-3157556-231-8.png,0.8166,1.2784,1.2505
0005-3157556-243-8.png,0.5262,0.9876,0.9373
0005-3157556-244-4.png,0.4722,1.0266,0.9698
0005-3157556-247-8.png,0.686,1.1988,1.1498
0005-3157556-248-14.png,0.4658,1.0001,0.9402
0005-3157556-257-1.png,0.7611,1.3709,1.3682
0005-3157556-268-9.png,0.7208,1.2879,1.2528
0005-3157556-288-9.png,0.6861,1.1933,1.166
0005-3157556-291-9.png,0.6236,1.0735,1.0052
0005-3157556-299-9.png,0.5182,0.9273,0.8948
0005-3157556-517-19.png,0.4944,1.1181,1.0594
0005-3157556-73-7.png,0.8211,1.174,1.1306
0005-3157556-86-15.png,0.2193,0.5327,0.4768
0005-3157556-87-15.png,0.1686,0.4716,0.4213
0005-3157556-92-13.png,0.1798,0.5307,0.4372
0005-3426930-1-5.png,0.2395,0.5965,0.5333
0005-3426930-2-12.png,0.4501,0.816,0.7963
0005-3426930-3-12.png,0.7114,1.0676,1.0122
0006-3157556-100-13.png,0.2683,0.6994,0.611
0006-3157556-101-13.png,0.2579,0.6559,0.5673
0006-3157556-1801-2.png,0.9081,1.4648,1.424
0006-3157556-1833-2.png,0.7743,1.3268,1.2659
0006-3157556-196-17.png,0.2143,0.6377,0.5619
0006-3157556-206-17.png,0.1921,0.6944,0.6173
0006-3157556-207-17.png,0.2442,0.6885,0.6253
0006-3157556-208-17.png,0.3485,0.867,0.7991
0006-3157556-209-18.png,0.1843,0.6804,0.6325
0006-3157556-213-17.png,0.2966,0.7444,0.6659
0006-3157556-215-11.png,0.2962,0.8094,0.7417
0006-3157556-226-18.png,0.2384,0.814,0.7547
0006-3157556-232-11.png,0.4774,1.0222,0.9511
0006-3157556-240-3.png,0.5374,0.9325,0.9012
0006-3157556-272-4.png,0.4509,1.0073,0.9422
0006-3157556-273-4.png,0.4637,0.9803,0.9162
0006-3157556-274-8.png,0.7925,1.2845,1.2687
0006-3157556-297-4.png,0.6426,1.1906,1.1171
0006-3157556-309-9.png,0.9209,1.4173,1.3719
0006-3157556-588-19.png,0.3922,0.9035,0.8349
0006-3157556-596-19.png,0.5121,1.0581,1.0228
0006-3157556-615-19.png,0.4119,0.9208,0.8696
0006-3157556-616-19.png,0.4537,1.0106,0.9542
0006-3157556-72-16.png,0.864,1.3337,1.2887
0006-3157556-9-12.png,0.3425,0.7854,0.7064
0006-3157556-91-15.png,0.1007,0.3263,0.2761
0006-3157556-91-7.png,0.7595,1.17,1.1329
0006-3157556-95-7.png,0.6635,1.0778,1.0337
0006-3426930-1-12.png,0.7669,1.1743,1.141
0006-3426930-2-12.png,0.4411,0.7817,0.7602
0007-3157556-103-18.png,0.8232,1.3562,1.3257
0007-3157556-108-11.png,0.4199,1.0043,0.9224
0007-3157556-119-14.png,0.448,0.9476,0.877
0007-3157556-12-18.png,0.4503,0.896,0.7911
