image,histogram,distanceHistogram,zigZagDistanceHistogram
0003-3157556-152-13.png,0.9028,1.4253,1.3818
0003-3157556-1669-21.png,0.8059,1.3154,1.2584
0003-3157556-1671-21.png,0.8424,1.3224,1.2445
0003-3157556-1675-21.png,0.6283,1.2611,1.1763
0003-3157556-1682-21.png,0.6684,1.1789,1.1251
0003-3157556-178-6.png,0.8479,1.3517,1.3022
0003-3157556-274-17.png,0.9358,1.3635,1.3115
0003-3157556-275-17.png,0.4887,1.0056,0.8967
0003-3157556-308-3.png,0.9118,1.3011,1.2937
0003-3157556-374-8.png,0.871,1.4341,1.3956
0003-3157556-383-4.png,1.0635,1.531,1.5528
0003-3157556-444-9.png,0.7113,1.2216,1.1915
0003-3157556-445-9.png,0.8596,1.415,1.3468
0003-3157556-976-19.png,0.7482,1.2418,1.2215
0004-3157556-1001-21.png,0.4995,1.0475,0.9899
0004-3157556-1007-21.png,0.8796,1.3692,1.3091
0004-3157556-1008-21.png,0.8585,1.3569,1.3097
0004-3157556-1016-21.png,0.5131,1.0564,0.97
0004-3157556-128-15.png,1.4965,1.7634,1.7167
0004-3157556-131-16.png,1.204,1.6552,1.5996
0004-3157556-170-17.png,0.4078,0.7973,0.6864
0004-3157556-1737-21.png,0.3658,0.9379,0.8845
0004-3157556-176-18.png,0.4509,0.7973,0.7437
0004-3157556-209-1.png,1.2036,1.7422,1.7109
0004-3157556-211-1.png,1.1954,1.6827,1.6269
0004-3157556-2561-2.png,1.7918,1.9403,1.9314
0004-3157556-320-18.png,0.652,1.0447,0.9842
0004-3157556-383-11.png,0.5186,1.1559,1.1024
0004-3157556-390-18.png,0.4771,0.8532,0.8192
0004-3157556-465-9.png,1.1427,1.5905,1.5446
0004-3157556-466-9.png,1.0738,1.5983,1.5614
0004-3157556-497-19.png,1.2974,1.6655,1.6328
0004-3157556-498-19.png,1.1375,1.5424,1.5554
0004-3157556-503-19.png,1.4403,1.7855,1.741
0004-3157556-83-15.png,0.5178,0.9623,0.8801
0004-3157556-88-10.png,0.7871,1.2216,1.2109
0004-3157556-92-5.png,0.9189,1.3328,1.2683
0004-3157556-96-20 .png,1.0537,1.5663,1.5255
0004-3426930-1-5.png,1.0009,1.3706,1.3527
0004-3426930-2-12.png,0.8887,1.3342,1.2572
0005-3157556-105-6.png,0.5163,1.1373,1.1065
0005-3157556-106-6.png,0.6753,1.2482,1.199
0005-3157556-107-10.png,0.0681,0.5244,0.3998
0005-3157556-139-1.png,0.5019,1.1103,1.0476
0005-3157556-142-1.png,0.621,1.2347,1.1823
0005-3157556-1594-2.png,0.8005,1.3349,1.3042
0005-3157556-174-17.png,0.208,0.813,0.7312
0005-3157556-189-18.png,0.217,0.8146,0.7553
0005-3157556-192-11.png,0.364,1.0771,1.0198
0005-3157556-193-11.png,0.2542,0.8501,0.7667
0005-3157556-195-11.png,0.2314,0.8919,0.797
0005-3157556-195-18.png,0.2263,0.767,0.7103
0005-3157556-203-3.png,0.5316,1.1564,1.0989
0005-3157556-211-11.png,0.2733,0.8404,0.7146
0005-3157556-213-3.png,0.3679,0.7925,0.759
0005-3157556-217-3.png,0.3029,0.8337,0.7765
0005-3157556-229-8.png,0.7453,1.4004,1.368
0005-3157556-231-8.png,0.7326,1.3345,1.2922
0005-3157556-243-8.png,0.4393,1.0242,0.9711
0005-3157556-244-4.png,0.4655,1.052,0.9932
0005-3157556-247-8.png,0.575,1.141,1.0969
0005-3157556-248-14.png,0.4153,0.9356,0.9195
0005-3157556-257-1.png,0.6467,1.388,1.3604
0005-3157556-268-9.png,0.6717,1.2902,1.2798
0005-3157556-288-9.png,0.6121,1.2186,1.2023
0005-3157556-291-9.png,0.5474,1.1641,1.0907
0005-3157556-299-9.png,0.4223,0.9818,0.9419
0005-3157556-517-19.png,0.4596,1.1255,1.0955
0005-3157556-73-7.png,0.7238,1.1607,1.1282
0005-3157556-86-15.png,0.2359,0.7663,0.6628
0005-3157556-87-15.png,0.2448,0.7831,0.6778
0005-3157556-92-13.png,0.2327,0.7228,0.6306
0005-3426930-1-5.png,0.1558,0.474,0.4421
0005-3426930-2-12.png,0.2923,0.6452,0.6262
0005-3426930-3-12.png,0.574,0.9912,0.9258
0006-3157556-100-13.png,0.2647,0.7632,0.6834
0006-3157556-101-13.png,0.2835,0.8007,0.7142
0006-3157556-1801-2.png,0.9081,1.476,1.4456
0006-3157556-1833-2.png,0.7858,1.3743,1.3168
0006-3157556-196-17.png,0.231,0.8444,0.7384
0006-3157556-206-17.png,0.1186,0.7319,0.6184
0006-3157556-207-17.png,0.243,0.8329,0.7482
0006-3157556-208-17.png,0.2781,0.8616,0.7839
0006-3157556-209-18.png,0.1544,0.7562,0.6827
0006-3157556-213-17.png,0.3016,0.9034,0.7929
0006-3157556-215-11.png,0.2408,0.933,0.8362
0006-3157556-226-18.png,0.165,0.7962,0.7387
0006-3157556-232-11.png,0.4561,1.0691,1.003
0006-3157556-240-3.png,0.4336,0.939,0.8859
0006-3157556-272-4.png,0.4705,1.0725,1.0329
0006-3157556-273-4.png,0.4853,1.0474,1.0048
0006-3157556-274-8.png,0.7099,1.3299,1.3158
0006-3157556-297-4.png,0.7012,1.2678,1.2279
0006-3157556-309-9.png,0.856,1.413,1.3777
0006-3157556-588-19.png,0.3164,0.8806,0.8087
0006-3157556-596-19.png,0.4038,0.9709,0.9312
0006-3157556-615-19.png,0.3265,0.8733,0.817
0006-3157556-616-19.png,0.3975,0.9984,0.9639
0006-3157556-72-16.png,0.7376,1.2629,1.2221
0006-3157556-9-12.png,0.312,0.8267,0.7361
0006-3157556-91-15.png,0.2222,0.6573,0.5386
0006-3157556-91-7.png,0.697,1.1636,1.1481
0006-3157556-95-7.png,0.5905,1.0994,1.0645
0006-3426930-1-12.png,0.6384,1.0395,1.005
0006-3426930-2-12.png,0.3084,0.661,0.6473
0007-3157556-103-18.png,0.7269,1.2823,1.2511
0007-3157556-108-11.png,0.3944,1.0619,0.9866
0007-3157556-119-14.png,0.4112,0.935,0.866
0007-3157556-12-18.png,0.4026,0.9092,0.8292
0007-3157556-120-14.png,0.5395,1.0274,0.9597
0007-3157556-13-14.png,0.3635,0.7958,0.7656
0007-3157556-139-14.png,0.8718,1.4296,1.3733
0007-3157556-316-19.png,0.7576,1.2903,1.2645
0007-3157556-39-7.png,0.9659,1.4395,1.354
0007-3157556-40-16.png,0.8078,1.3047,1.2589
0007-3157556-42-16.png,0.9806,1.4606,1.3944
0007-3157556-48-12.png,0.4948,0.9869,0.9056
0007-3157556-49-13.png,0.3226,0.8301,0.7499
0007-3157556-579-21.png,0.6412,1.2287,1.1904
0007-3157556-91-17.png,0.3903,0.9199,0.7961
0007-3249138-10-7.png,1.6921,1.8905,1.8796
0007-3249138-1040-19.png,1.4383,1.7284,1.6904
0007-3249138-11-16.png,1.5349,1.817,1.8005
0007-3249138-11-17.png,1.7148,1.888,1.882
0007-3249138-112-19.png,1.4508,1.7134,1.6831
0007-3249138-12-14.png,1.5277,1.7707,1.7549
0007-3249138-12-7.png,1.5797,1.8617,1.8447
0007-3249138-13-17.png,1.7709,1.9145,1.9081
0007-3249138-132-21.png,1.5063,1.8302,1.81
0007-3249138-137-21.png,1.5885,1.8553,1.845
0007-3249138-15-16.png,1.3934,1.6987,1.6459
0007-3249138-16-12.png,1.6547,1.861,1.8517
0007-3249138-16-15.png,1.6086,1.8049,1.7879
0007-3249138-18-1.png,1.5848,1.8353,1.8121
0007-3249138-18-13.png,1.4685,1.7132,1.6905
0007-3249138-18-16.png,1.6846,1.8301,1.8099
0007-3249138-185-21.png,1.3587,1.7357,1.7155
0007-3249138-186-21.png,1.4722,1.7931,1.7653
0007-3249138-19-3.png,1.6552,1.8169,1.8057
0007-3249138-190-21.png,1.4065,1.7446,1.7256
0007-3249138-203-20 .png,1.5392,1.7968,1.7708
0007-3249138-204-20 .png,1.6939,1.9093,1.9039
0007-3249138-21-13.png,1.542,1.7505,1.7259
0007-3249138-22-11.png,1.5862,1.8143,1.8051
0007-3249138-23-1.png,1.616,1.8829,1.8676
0007-3249138-23-8.png,1.5534,1.809,1.7951
0007-3249138-234-2.png,1.7681,1.9317,1.9281
0007-3249138-24-1.png,1.472,1.8509,1.8325
0007-3249138-26-3.png,1.5824,1.7766,1.7715
0007-3249138-26-8.png,1.4043,1.7054,1.6678
0007-3249138-2829-2.png,1.8463,1.9584,1.9539
0007-3249138-30-18.png,1.3879,1.7138,1.6816
0007-3249138-30-7.png,1.6563,1.8791,1.8715
0007-3249138-307-17.png,1.7272,1.9076,1.9018
0007-3249138-31-17.png,1.6385,1.8654,1.8533
0007-3249138-31-20 .png,1.4236,1.7606,1.7345
0007-3249138-32-8.png,1.5334,1.7894,1.7603
0007-3249138-33-14.png,1.4036,1.6965,1.6663
0007-3249138-367-11.png,1.7005,1.8697,1.8568
0007-3249138-39-14.png,1.5778,1.837,1.8315
0007-3249138-39-17.png,1.5184,1.815,1.7939
0007-3249138-42-3.png,1.7177,1.8969,1.8949
0007-3249138-43-3.png,1.7873,1.9217,1.9104
0007-3249138-43-4.png,1.6626,1.8851,1.8753
0007-3249138-43-8.png,1.6882,1.8688,1.8617
0007-3249138-47-3.png,1.6423,1.8583,1.848
0007-3249138-49-14.png,1.3219,1.6426,1.5941
0007-3249138-5-12.png,1.6467,1.8583,1.8508
0007-3249138-50-11.png,1.5527,1.7667,1.7414
0007-3249138-50-4.png,1.5875,1.8335,1.8202
0007-3249138-505-9.png,1.6389,1.888,1.8693
0007-3249138-507-9.png,1.6695,1.8916,1.8805
0007-3249138-51-11.png,1.6025,1.8413,1.8247
0007-3249138-51-18.png,1.3068,1.5997,1.5506
0007-3249138-510-9.png,1.7437,1.9195,1.9056
0007-3249138-511-9.png,1.7063,1.9024,1.8942
0007-3249138-512-9.png,1.5481,1.7928,1.7651
0007-3249138-54-18.png,1.4897,1.7429,1.7145
0007-3249138-57-19.png,1.4738,1.7824,1.7528
0007-3249138-59-14.png,1.3152,1.6249,1.5797
0007-3249138-6-10.png,1.4125,1.6764,1.6525
0007-3249138-6-16.png,1.6622,1.8249,1.8025
0007-3249138-607-14.png,1.4951,1.7471,1.7359
0007-3249138-63-4.png,1.6563,1.8892,1.8759
0007-3249138-64-19.png,1.5002,1.7423,1.7215
0007-3249138-69-14.png,1.6035,1.8502,1.8421
0007-3249138-7-11.png,1.4504,1.7412,1.7041
0007-3249138-7-7.png,1.5222,1.8208,1.7985
0007-3249138-9-16.png,1.4775,1.6755,1.6293
0007-3249138-9-18.png,1.5304,1.787,1.7547
0007-3249138-9-6.png,1.2063,1.5575,1.5001
0007-3249138-9-7.png,1.4992,1.7882,1.7695
0007-3249138-97-19.png,1.4671,1.7696,1.7602
0007-3426930-2-12.png,0.6579,0.9797,0.9466
0007-3426930-3-5.png,1.0117,1.4237,1.3756
0007-3426930-4-6.png,0.7673,1.1193,1.0833
0008-3157556-115-11.png,1.4628,1.7792,1.736
0008-3157556-123-3.png,1.3038,1.6847,1.6636
0008-3157556-139-4.png,1.6629,1.913,1.9031
0008-3157556-139-8.png,0.9041,1.5205,1.4723
0008-3157556-155-4.png,1.6279,1.8955,1.8828
0008-3157556-19-17.png,1.6268,1.8993,1.8814
0008-3157556-354-19.png,1.5448,1.8448,1.8229
0008-3157556-41-7.png,1.1412,1.6216,1.5847
0008-3157556-44-16.png,1.3285,1.7903,1.7566
0008-3157556-60-15.png,1.6736,1.8804,1.86
0008-3157556-77-6.png,1.2278,1.6958,1.6814
0008-3249138-102-9.png,1.7695,1.927,1.9234
0008-3249138-104-14.png,1.6885,1.8856,1.8782
0008-3249138-117-15.png,1.7427,1.8992,1.8859
0008-3249138-15-10.png,1.6287,1.8098,1.796
0008-3249138-171-20 .png,1.5384,1.8395,1.8297
0008-3249138-172-20 .png,1.57,1.824,1.7993
0008-3249138-176-6.png,1.6905,1.8881,1.8749
0008-3249138-1873-21.png,1.6722,1.8681,1.855
0008-3249138-1880-21.png,1.6906,1.8954,1.8903
0008-3249138-24-15.png,1.7342,1.887,1.8775
0008-3249138-24-6.png,1.6224,1.8567,1.8397
0008-3249138-27-15.png,1.7063,1.8689,1.8486
0008-3249138-28-15.png,1.6761,1.8647,1.85
0008-3249138-293-11.png,1.6171,1.856,1.8445
0008-3249138-296-11.png,1.6233,1.8063,1.789
0008-3249138-304-11.png,1.6683,1.8618,1.852
0008-3249138-322-3.png,1.7674,1.8773,1.8711
0008-3249138-33-12.png,1.6996,1.8877,1.8762
0008-3249138-335-21.png,1.6157,1.8424,1.8255
0008-3249138-367-8.png,1.5896,1.8016,1.7747
0008-3249138-38-1.png,1.6134,1.8881,1.8737
0008-3249138-39-20 .png,1.5963,1.8542,1.8313
0008-3249138-397-4.png,1.7283,1.913,1.8993
0008-3249138-407-4.png,1.7964,1.9366,1.9306
0008-3249138-409-9.png,1.7235,1.9145,1.8979
0008-3249138-42-13.png,1.7467,1.9063,1.8955
0008-3249138-44-13.png,1.7123,1.8821,1.8748
0008-3249138-447-21.png,1.6575,1.8712,1.8608
0008-3249138-51-3.png,1.7378,1.8669,1.8568
0008-3249138-56-11.png,1.7146,1.8873,1.875
0008-3249138-59-9.png,1.7178,1.9042,1.8947
0008-3249138-590-2.png,1.8537,1.962,1.9568
0008-3249138-63-11.png,1.6434,1.8525,1.8371
0008-3249138-63-9.png,1.6332,1.8678,1.8584
0008-3249138-81-4.png,1.7877,1.9431,1.9387
0008-3249138-88-14.png,1.746,1.9265,1.9117
0008-3249138-95-4.png,1.7993,1.9303,1.9269
0008-3249138-98-4.png,1.7939,1.9218,1.9199
0009-3157556-12-15.png,0.8557,1.3235,1.278
0009-3157556-121-17.png,0.6085,1.239,1.1813
0009-3157556-130-18.png,0.4477,0.9716,0.9251
0009-3157556-138-18.png,0.4653,1.0622,1.0239
0009-3157556-172-14.png,0.5814,1.0365,1.0058
0009-3157556-172-8.png,1.0534,1.5929,1.5514
0009-3157556-173-14.png,0.5832,0.9706,0.931
0009-3157556-19-9.png,0.9304,1.4615,1.4431
0009-3157556-193-4.png,1.0816,1.5529,1.5546
0009-3157556-194-14.png,0.6101,1.033,0.9992
0009-3157556-205-14.png,0.5243,0.9162,0.8872
0009-3157556-40-5.png,0.6631,1.2405,1.23
0009-3157556-63-12.png,0.2549,0.6694,0.6269
0009-3157556-70-15.png,0.5587,1.1769,1.0983
0009-3157556-71-15.png,0.559,1.0305,0.9465
0009-3157556-786-21.png,0.7033,1.2932,1.2843
0009-3249138-1-13.png,1.5679,1.7038,1.6874
0009-3249138-1-7.png,1.4174,1.7539,1.7105
