image,histogram,distanceHistogram,zigZagDistanceHistogram
0003-3157556-152-13.png,0.7387,1.2274,1.2222
0003-3157556-1669-21.png,0.8534,1.3209,1.2915
0003-3157556-1671-21.png,0.8961,1.4039,1.3538
0003-3157556-1675-21.png,0.6829,1.2142,1.183
0003-3157556-1682-21.png,0.6466,1.1247,1.1044
0003-3157556-178-6.png,0.9338,1.3987,1.3769
0003-3157556-274-17.png,0.8349,1.2582,1.2455
0003-3157556-275-17.png,0.3235,0.6753,0.633
0003-3157556-308-3.png,0.9746,1.399,1.4356
0003-3157556-374-8.png,0.9124,1.4094,1.4392
0003-3157556-383-4.png,0.9134,1.3972,1.4302
0003-3157556-444-9.png,0.7466,1.2425,1.2357
0003-3157556-445-9.png,0.9025,1.4469,1.4158
0003-3157556-976-19.png,0.681,1.1934,1.2025
0004-3157556-1001-21.png,0.5376,0.9886,0.9646
0004-3157556-1007-21.png,0.8948,1.3578,1.3195
0004-3157556-1008-21.png,0.854,1.3328,1.3052
0004-3157556-1016-21.png,0.61,1.1123,1.0892
0004-3157556-128-15.png,1.4105,1.8077,1.7794
0004-3157556-131-16.png,1.2453,1.7121,1.6964
0004-3157556-170-17.png,0.2801,0.6883,0.6034
0004-3157556-1737-21.png,0.3968,0.8725,0.8462
0004-3157556-176-18.png,0.5847,0.9767,0.9603
0004-3157556-209-1.png,1.1717,1.641,1.6411
0004-3157556-211-1.png,1.1746,1.6526,1.6328
0004-3157556-2561-2.png,1.6556,1.9077,1.8932
0004-3157556-320-18.png,0.7554,1.1321,1.1145
0004-3157556-383-11.png,0.4272,0.9204,0.9215
0004-3157556-390-18.png,0.5072,0.8967,0.8933
0004-3157556-465-9.png,1.1393,1.6242,1.5895
0004-3157556-466-9.png,1.0426,1.5744,1.5537
0004-3157556-497-19.png,1.2185,1.6579,1.6579
0004-3157556-498-19.png,1.0092,1.4346,1.4595
0004-3157556-503-19.png,1.3239,1.7463,1.7154
0004-3157556-83-15.png,0.4084,0.8194,0.765
0004-3157556-88-10.png,0.7509,1.1974,1.2171
0004-3157556-92-5.png,0.8972,1.3801,1.3387
0004-3157556-96-20 .png,1.0445,1.5458,1.554
0004-3426930-1-5.png,0.8913,1.3688,1.3734
0004-3426930-2-12.png,0.8743,1.3848,1.3217
0005-3157556-105-6.png,0.6092,1.0768,1.1055
0005-3157556-106-6.png,0.8041,1.2917,1.2908
0005-3157556-107-10.png,0.1473,0.3699,0.3087
0005-3157556-139-1.png,0.5593,1.0384,1.0237
0005-3157556-142-1.png,0.6812,1.1305,1.1228
0005-3157556-1594-2.png,0.6295,1.0511,1.0288
0005-3157556-174-17.png,0.1062,0.374,0.345
0005-3157556-189-18.png,0.3122,0.7212,0.7229
0005-3157556-192-11.png,0.2467,0.6853,0.6725
0005-3157556-193-11.png,0.1769,0.5001,0.4663
0005-3157556-195-11.png,0.1185,0.4223,0.4013
0005-3157556-195-18.png,0.3174,0.7149,0.7061
0005-3157556-203-3.png,0.6063,1.0532,1.066
0005-3157556-211-11.png,0.2004,0.4669,0.419
0005-3157556-213-3.png,0.4996,0.8706,0.8772
0005-3157556-217-3.png,0.4453,0.8987,0.899
0005-3157556-229-8.png,0.7611,1.2534,1.2931
0005-3157556-231-8.png,0.7671,1.2198,1.2518
0005-3157556-243-8.png,0.5348,0.9961,1.0199
0005-3157556-244-4.png,0.3205,0.6521,0.639
0005-3157556-247-8.png,0.6035,1.0849,1.0985
0005-3157556-248-14.png,0.5686,1.1278,1.1151
0005-3157556-257-1.png,0.696,1.2386,1.2447
0005-3157556-268-9.png,0.6648,1.1468,1.1811
0005-3157556-288-9.png,0.6792,1.146,1.1768
0005-3157556-291-9.png,0.6098,1.09,1.0753
0005-3157556-299-9.png,0.5318,1.0116,1.0176
0005-3157556-517-19.png,0.3794,0.8679,0.8637
0005-3157556-73-7.png,0.8125,1.2225,1.2257
0005-3157556-86-15.png,0.1177,0.2888,0.2632
0005-3157556-87-15.png,0.1171,0.2706,0.2455
0005-3157556-92-13.png,0.1258,0.4003,0.3582
0005-3426930-1-5.png,0.1867,0.5889,0.5407
0005-3426930-2-12.png,0.4609,0.9491,0.9098
0005-3426930-3-12.png,0.58,1.074,1.0234
0006-3157556-100-13.png,0.1763,0.5131,0.4836
0006-3157556-101-13.png,0.1477,0.4198,0.3953
0006-3157556-1801-2.png,0.6609,1.1088,1.1085
0006-3157556-1833-2.png,0.54,0.9718,0.9419
0006-3157556-196-17.png,0.1058,0.3853,0.3452
0006-3157556-206-17.png,0.0597,0.3827,0.3298
0006-3157556-207-17.png,0.1312,0.3878,0.3624
0006-3157556-208-17.png,0.1538,0.4979,0.4529
0006-3157556-209-18.png,0.2785,0.7131,0.6826
0006-3157556-213-17.png,0.149,0.4288,0.3838
0006-3157556-215-11.png,0.1548,0.5225,0.5059
0006-3157556-226-18.png,0.2572,0.6774,0.6499
0006-3157556-232-11.png,0.3047,0.6994,0.6635
0006-3157556-240-3.png,0.5263,0.89,0.8963
0006-3157556-272-4.png,0.3268,0.6722,0.6581
0006-3157556-273-4.png,0.3579,0.7517,0.7324
0006-3157556-274-8.png,0.7133,1.1781,1.204
0006-3157556-297-4.png,0.5132,0.9043,0.8842
0006-3157556-309-9.png,0.8814,1.3627,1.3836
0006-3157556-588-19.png,0.2399,0.6346,0.6088
0006-3157556-596-19.png,0.3583,0.7724,0.7832
0006-3157556-615-19.png,0.3079,0.7198,0.72
0006-3157556-616-19.png,0.3878,0.8713,0.8763
0006-3157556-72-16.png,0.7812,1.2412,1.2152
0006-3157556-9-12.png,0.4468,0.874,0.8046
0006-3157556-91-15.png,0.2013,0.4231,0.3677
0006-3157556-91-7.png,0.8007,1.248,1.2532
0006-3157556-95-7.png,0.7564,1.1721,1.1916
0006-3426930-1-12.png,0.6548,1.0997,1.0957
0006-3426930-2-12.png,0.4638,0.9265,0.914
0007-3157556-103-18.png,0.6954,1.1912,1.2019
0007-3157556-108-11.png,0.291,0.7652,0.7373
0007-3157556-119-14.png,0.53,1.0166,0.9946
0007-3157556-12-18.png,0.3941,0.8179,0.7707
0007-3157556-120-14.png,0.6223,1.1398,1.1082
0007-3157556-13-14.png,0.4149,0.7119,0.7615
0007-3157556-139-14.png,0.9514,1.4245,1.4065
0007-3157556-316-19.png,0.6925,1.1426,1.1569
0007-3157556-39-7.png,1.1161,1.5737,1.5338
0007-3157556-40-16.png,0.8459,1.3168,1.2818
0007-3157556-42-16.png,1.052,1.5069,1.4715
0007-3157556-48-12.png,0.5208,0.9239,0.8878
0007-3157556-49-13.png,0.1949,0.61,0.5729
0007-3157556-579-21.png,0.6125,1.0874,1.0858
0007-3157556-91-17.png,0.2172,0.5432,0.4641
0007-3249138-10-7.png,1.5547,1.8829,1.8596
0007-3249138-1040-19.png,1.3431,1.7826,1.7491
0007-3249138-11-16.png,1.4228,1.8329,1.8077
0007-3249138-11-17.png,1.6093,1.8798,1.8676
0007-3249138-112-19.png,1.3521,1.7752,1.7377
0007-3249138-12-14.png,1.3783,1.7811,1.7577
0007-3249138-12-7.png,1.4623,1.8329,1.8189
0007-3249138-13-17.png,1.6568,1.9035,1.8886
0007-3249138-132-21.png,1.3973,1.8173,1.7929
0007-3249138-137-21.png,1.4844,1.8585,1.8393
0007-3249138-15-16.png,1.342,1.7702,1.7298
0007-3249138-16-12.png,1.5979,1.8867,1.8782
0007-3249138-16-15.png,1.4932,1.8153,1.8021
0007-3249138-18-1.png,1.5194,1.8541,1.8447
0007-3249138-18-13.png,1.3674,1.738,1.7135
0007-3249138-18-16.png,1.6328,1.9133,1.8936
0007-3249138-185-21.png,1.2985,1.7415,1.7209
0007-3249138-186-21.png,1.4106,1.8145,1.7874
0007-3249138-19-3.png,1.5476,1.8489,1.8325
0007-3249138-190-21.png,1.3398,1.7632,1.7403
0007-3249138-203-20 .png,1.4573,1.8327,1.811
0007-3249138-204-20 .png,1.5442,1.8799,1.8606
0007-3249138-21-13.png,1.4309,1.8155,1.7915
0007-3249138-22-11.png,1.4764,1.8336,1.8144
0007-3249138-23-1.png,1.532,1.8693,1.854
0007-3249138-23-8.png,1.4117,1.801,1.7754
0007-3249138-234-2.png,1.6603,1.9,1.8925
0007-3249138-24-1.png,1.3915,1.82,1.8129
0007-3249138-26-3.png,1.5131,1.8385,1.831
0007-3249138-26-8.png,1.3181,1.7554,1.7359
0007-3249138-2829-2.png,1.7272,1.9357,1.9253
0007-3249138-30-18.png,1.3262,1.7881,1.761
0007-3249138-30-7.png,1.5188,1.8572,1.8421
0007-3249138-307-17.png,1.6277,1.8966,1.8882
0007-3249138-31-17.png,1.5273,1.8455,1.8338
0007-3249138-31-20 .png,1.3232,1.7586,1.7475
0007-3249138-32-8.png,1.4349,1.8278,1.8042
0007-3249138-33-14.png,1.3095,1.7721,1.7472
0007-3249138-367-11.png,1.5946,1.873,1.8603
0007-3249138-39-14.png,1.4384,1.8363,1.8169
0007-3249138-39-17.png,1.4092,1.804,1.7858
0007-3249138-42-3.png,1.6401,1.9016,1.8914
0007-3249138-43-3.png,1.6872,1.9331,1.9185
0007-3249138-43-4.png,1.5288,1.8511,1.8413
0007-3249138-43-8.png,1.5463,1.8839,1.8591
0007-3249138-47-3.png,1.5192,1.8453,1.8329
0007-3249138-49-14.png,1.2,1.6821,1.6373
0007-3249138-5-12.png,1.5308,1.8554,1.8391
0007-3249138-50-11.png,1.411,1.785,1.7582
0007-3249138-50-4.png,1.4966,1.8287,1.8207
0007-3249138-505-9.png,1.5324,1.8833,1.8665
0007-3249138-507-9.png,1.5599,1.8943,1.8753
0007-3249138-51-11.png,1.5041,1.8357,1.8239
0007-3249138-51-18.png,1.2771,1.7574,1.7062
0007-3249138-510-9.png,1.6656,1.9406,1.927
0007-3249138-511-9.png,1.5762,1.8924,1.8759
0007-3249138-512-9.png,1.4841,1.857,1.8339
0007-3249138-54-18.png,1.4642,1.8435,1.824
0007-3249138-57-19.png,1.3513,1.7749,1.7422
0007-3249138-59-14.png,1.2182,1.7034,1.6673
0007-3249138-6-10.png,1.3493,1.7723,1.7411
0007-3249138-6-16.png,1.6025,1.9028,1.8817
0007-3249138-607-14.png,1.313,1.7342,1.7177
0007-3249138-63-4.png,1.5289,1.8741,1.8587
0007-3249138-64-19.png,1.4428,1.8276,1.8135
0007-3249138-69-14.png,1.4527,1.8277,1.8101
0007-3249138-7-11.png,1.3343,1.7563,1.7236
0007-3249138-7-7.png,1.3867,1.7883,1.7683
0007-3249138-9-16.png,1.4357,1.8301,1.7948
0007-3249138-9-18.png,1.4682,1.8481,1.8187
0007-3249138-9-6.png,1.2203,1.6998,1.6658
0007-3249138-9-7.png,1.3913,1.8104,1.7879
0007-3249138-97-19.png,1.3456,1.7712,1.7506
0007-3426930-2-12.png,0.6787,1.1103,1.0718
0007-3426930-3-5.png,0.9244,1.4252,1.3983
0007-3426930-4-6.png,0.8187,1.2606,1.2474
0008-3157556-115-11.png,1.3831,1.7879,1.7664
0008-3157556-123-3.png,1.2941,1.6886,1.701
0008-3157556-139-4.png,1.5226,1.8653,1.8558
0008-3157556-139-8.png,0.9178,1.424,1.4419
0008-3157556-155-4.png,1.4868,1.8381,1.8265
0008-3157556-19-17.png,1.5056,1.8586,1.8428
0008-3157556-354-19.png,1.4315,1.8134,1.7974
0008-3157556-41-7.png,1.2363,1.6218,1.6156
0008-3157556-44-16.png,1.2904,1.7438,1.7123
0008-3157556-60-15.png,1.5368,1.8688,1.8468
0008-3157556-77-6.png,1.227,1.6771,1.6932
0008-3249138-102-9.png,1.6607,1.925,1.9136
0008-3249138-104-14.png,1.534,1.8786,1.8547
0008-3249138-117-15.png,1.6988,1.9188,1.9088
0008-3249138-15-10.png,1.5371,1.8765,1.8503
0008-3249138-171-20 .png,1.4045,1.8153,1.7975
0008-3249138-172-20 .png,1.498,1.8574,1.8344
0008-3249138-176-6.png,1.6145,1.9121,1.8987
0008-3249138-1873-21.png,1.5907,1.8962,1.8731
0008-3249138-1880-21.png,1.5704,1.8908,1.8688
0008-3249138-24-15.png,1.6695,1.9096,1.895
0008-3249138-24-6.png,1.58,1.8874,1.8717
0008-3249138-27-15.png,1.6575,1.9267,1.9083
0008-3249138-28-15.png,1.5962,1.8786,1.8607
0008-3249138-293-11.png,1.5102,1.8319,1.8206
0008-3249138-296-11.png,1.5516,1.8583,1.8368
0008-3249138-304-11.png,1.5946,1.8645,1.8594
0008-3249138-322-3.png,1.6973,1.9247,1.9155
0008-3249138-33-12.png,1.6636,1.9104,1.8982
0008-3249138-335-21.png,1.5713,1.8821,1.8643
0008-3249138-367-8.png,1.4998,1.8637,1.8336
0008-3249138-38-1.png,1.5209,1.868,1.8516
0008-3249138-39-20 .png,1.511,1.8672,1.8438
0008-3249138-397-4.png,1.6036,1.8984,1.8815
0008-3249138-407-4.png,1.6587,1.9152,1.8986
0008-3249138-409-9.png,1.5808,1.9106,1.8826
0008-3249138-42-13.png,1.6847,1.9378,1.9228
0008-3249138-44-13.png,1.6132,1.8866,1.8753
0008-3249138-447-21.png,1.5766,1.88,1.8607
0008-3249138-51-3.png,1.6521,1.9104,1.8954
0008-3249138-56-11.png,1.6076,1.8942,1.8757
0008-3249138-59-9.png,1.5875,1.9091,1.8853
0008-3249138-590-2.png,1.7507,1.9487,1.9379
0008-3249138-63-11.png,1.555,1.86,1.8454
0008-3249138-63-9.png,1.5326,1.8752,1.8532
0008-3249138-81-4.png,1.6827,1.928,1.9219
0008-3249138-88-14.png,1.5878,1.9098,1.8857
0008-3249138-95-4.png,1.6991,1.9238,1.9154
0008-3249138-98-4.png,1.7028,1.9174,1.9063
0009-3157556-12-15.png,0.646,1.1262,1.0888
0009-3157556-121-17.png,0.4341,0.8806,0.856
0009-3157556-130-18.png,0.4919,0.9557,0.9462
0009-3157556-138-18.png,0.4695,0.8847,0.8774
0009-3157556-172-14.png,0.6614,1.1788,1.1719
0009-3157556-172-8.png,1.0292,1.4914,1.5176
0009-3157556-173-14.png,0.7279,1.2557,1.2297
0009-3157556-19-9.png,0.9005,1.3815,1.4159
0009-3157556-193-4.png,0.9662,1.4374,1.4542
0009-3157556-194-14.png,0.7808,1.2962,1.2877
0009-3157556-205-14.png,0.6816,1.2127,1.1794
0009-3157556-40-5.png,0.6071,1.1165,1.1343
0009-3157556-63-12.png,0.3841,0.7732,0.7431
0009-3157556-70-15.png,0.4031,0.8755,0.837
0009-3157556-71-15.png,0.4127,0.8344,0.7963
0009-3157556-786-21.png,0.7064,1.1994,1.214
0009-3249138-1-13.png,1.4417,1.7775,1.7485
0009-3249138-1-7.png,1.2871,1.7227,1.6833
0009-3249138-1027-19.png,1.2551,1.725,1.677
0009-3249138-105-5.png,1.3697,1.7988,1.7736
0009-3249138-118-15.png,1.5423,1.8582,1.8367
0009-3249138-124-15.png,1.5363,1.8677,1.8472
0009-3249138-129-16.png,1.5625,1.8975,1.8781
0009-3249138-137-7.png,1.4778,1.8462,1.8237
0009-3249138-147-12.png,1.3352,1.7464,1.7171
0009-3249138-163-1.png,1.5087,1.861,1.8414
0009-3249138-192-20 .png,1.2984,1.7287,1.7233
0009-3249138-2-11.png,1.5829,1.895,1.8752
0009-3249138-200-20 .png,1.3272,1.7701,1.7555
0009-3249138-202-20 .png,1.3935,1.807,1.7859
0009-3249138-2123-21.png,1.472,1.8309,1.8229
0009-3249138-2135-21.png,1.4797,1.8636,1.8357
0009-3249138-258-17.png,1.4785,1.8247,1.802
0009-3249138-3-8.png,1.4503,1.8501,1.8223
0009-3249138-329-3.png,1.5102,1.8485,1.8291
0009-3249138-337-11.png,1.6126,1.8972,1.8799
0009-3249138-340-3.png,1.4723,1.8354,1.8088
0009-3249138-380-8.png,1.4659,1.8587,1.8293
0009-3249138-395-18.png,1.4871,1.8647,1.8416
0009-3249138-400-8.png,1.2945,1.7442,1.7208
0009-3249138-409-8.png,1.4294,1.8303,1.8063
0009-3249138-418-9.png,1.5447,1.8898,1.8648
0009-3249138-439-8.png,1.2746,1.7568,1.7297
0009-3249138-440-4.png,1.6253,1.8981,1.885
0009-3249138-450-9.png,1.4288,1.8282,1.806
0009-3249138-452-18.png,1.3182,1.7586,1.718
0009-3249138-5-11.png,1.5368,1.8563,1.8433
0009-3249138-513-9.png,1.5593,1.8975,1.8752
0009-3249138-519-14.png,1.4871,1.8282,1.8067
0009-3249138-525-14.png,1.539,1.8847,1.8612
0009-3249138-95-5.png,1.4577,1.8316,1.8142
0009-3249138-957-19.png,1.4141,1.8257,1.7954
0009-3249138-97-10.png,1.2942,1.7104,1.6706
0009-3426930-1-12.png,1.1763,1.6377,1.6193
0010-3157556-110-1.png,0.9814,1.4794,1.4631
0010-3157556-169-3.png,0.9682,1.4271,1.4385
0010-3157556-173-18.png,0.3292,0.7322,0.7108
0010-3157556-179-11.png,0.4554,0.9524,0.9271
