image,histogram,distanceHistogram,zigZagDistanceHistogram
0003-3157556-152-13.png,1.1805,1.6038,1.6174
0003-3157556-1669-21.png,1.3024,1.7166,1.7045
0003-3157556-1671-21.png,1.3592,1.7316,1.725
0003-3157556-1675-21.png,1.2726,1.6926,1.6802
0003-3157556-1682-21.png,1.3252,1.753,1.7363
0003-3157556-178-6.png,1.4542,1.7869,1.7693
0003-3157556-274-17.png,0.9237,1.4018,1.3691
0003-3157556-275-17.png,1.4165,1.7788,1.7725
0003-3157556-308-3.png,1.607,1.8594,1.8649
0003-3157556-374-8.png,1.4076,1.7504,1.7721
0003-3157556-383-4.png,1.3413,1.6794,1.6937
0003-3157556-444-9.png,1.374,1.7487,1.7324
0003-3157556-445-9.png,1.2588,1.6513,1.6346
0003-3157556-976-19.png,1.2952,1.6682,1.6572
0004-3157556-1001-21.png,1.4584,1.8101,1.8033
0004-3157556-1007-21.png,1.3668,1.7444,1.7313
0004-3157556-1008-21.png,1.3401,1.7313,1.7063
0004-3157556-1016-21.png,1.4693,1.842,1.8344
0004-3157556-128-15.png,0.725,1.1201,1.1007
0004-3157556-131-16.png,1.1751,1.5988,1.5894
0004-3157556-170-17.png,1.4685,1.7687,1.7599
0004-3157556-1737-21.png,1.5338,1.8544,1.8468
0004-3157556-176-18.png,1.5227,1.8405,1.8287
0004-3157556-209-1.png,1.1099,1.5399,1.5383
0004-3157556-211-1.png,1.2261,1.6253,1.6162
0004-3157556-2561-2.png,0.342,0.8225,0.728
0004-3157556-320-18.png,1.3832,1.7169,1.7188
0004-3157556-383-11.png,1.4301,1.7521,1.7422
0004-3157556-390-18.png,1.5703,1.8666,1.8585
0004-3157556-465-9.png,1.1419,1.5283,1.5146
0004-3157556-466-9.png,1.0977,1.5393,1.5231
0004-3157556-497-19.png,0.8307,1.3336,1.3396
0004-3157556-498-19.png,1.113,1.5615,1.5536
0004-3157556-503-19.png,0.8153,1.3237,1.333
0004-3157556-83-15.png,1.5546,1.8311,1.8178
0004-3157556-88-10.png,1.4331,1.7688,1.7543
0004-3157556-92-5.png,1.1859,1.6092,1.6052
0004-3157556-96-20 .png,1.2959,1.683,1.686
0004-3426930-1-5.png,1.0724,1.5037,1.4881
0004-3426930-2-12.png,1.2224,1.647,1.6309
0005-3157556-105-6.png,1.5462,1.8476,1.8379
0005-3157556-106-6.png,1.5239,1.821,1.8137
0005-3157556-107-10.png,1.8722,1.973,1.9683
0005-3157556-139-1.png,1.4686,1.806,1.8044
0005-3157556-142-1.png,1.4186,1.7837,1.7801
0005-3157556-1594-2.png,1.5772,1.8669,1.8439
0005-3157556-174-17.png,1.6427,1.8948,1.8902
0005-3157556-189-18.png,1.6461,1.9121,1.9044
0005-3157556-192-11.png,1.5735,1.8684,1.8627
0005-3157556-193-11.png,1.6122,1.8915,1.8779
0005-3157556-195-11.png,1.6261,1.8938,1.8866
0005-3157556-195-18.png,1.6123,1.8869,1.8812
0005-3157556-203-3.png,1.5224,1.8294,1.8266
0005-3157556-211-11.png,1.8136,1.9654,1.9593
0005-3157556-213-3.png,1.7296,1.9173,1.9191
0005-3157556-217-3.png,1.6583,1.8961,1.8946
0005-3157556-229-8.png,1.4358,1.7918,1.7899
0005-3157556-231-8.png,1.4717,1.8013,1.8009
0005-3157556-243-8.png,1.5163,1.8282,1.8312
0005-3157556-244-4.png,1.4929,1.8202,1.8125
0005-3157556-247-8.png,1.4523,1.7994,1.7964
0005-3157556-248-14.png,1.7043,1.912,1.9102
0005-3157556-257-1.png,1.4393,1.8064,1.8032
0005-3157556-268-9.png,1.4114,1.7615,1.7586
0005-3157556-288-9.png,1.4983,1.8104,1.8016
0005-3157556-291-9.png,1.4873,1.8123,1.8122
0005-3157556-299-9.png,1.5272,1.852,1.8495
0005-3157556-517-19.png,1.4413,1.7911,1.7726
0005-3157556-73-7.png,1.4045,1.8221,1.8214
0005-3157556-86-15.png,1.7076,1.9175,1.9162
0005-3157556-87-15.png,1.7939,1.9627,1.9582
0005-3157556-92-13.png,1.6443,1.8963,1.8918
0005-3426930-1-5.png,1.7459,1.9211,1.9111
0005-3426930-2-12.png,1.8014,1.9451,1.9423
0005-3426930-3-12.png,1.5139,1.8342,1.8158
0006-3157556-100-13.png,1.6078,1.8781,1.866
0006-3157556-101-13.png,1.5935,1.8727,1.8599
0006-3157556-1801-2.png,1.5747,1.8453,1.825
0006-3157556-1833-2.png,1.5462,1.853,1.8286
0006-3157556-196-17.png,1.6243,1.9074,1.8919
0006-3157556-206-17.png,1.6517,1.913,1.9035
0006-3157556-207-17.png,1.6142,1.8828,1.8678
0006-3157556-208-17.png,1.5449,1.858,1.8477
0006-3157556-209-18.png,1.7496,1.9389,1.9374
0006-3157556-213-17.png,1.5634,1.8731,1.8627
0006-3157556-215-11.png,1.5966,1.8629,1.8586
0006-3157556-226-18.png,1.6822,1.9174,1.908
0006-3157556-232-11.png,1.5163,1.8301,1.8165
0006-3157556-240-3.png,1.5857,1.8409,1.8373
0006-3157556-272-4.png,1.5999,1.8673,1.8469
0006-3157556-273-4.png,1.585,1.8574,1.8407
0006-3157556-274-8.png,1.4128,1.7904,1.7914
0006-3157556-297-4.png,1.4882,1.813,1.7978
0006-3157556-309-9.png,1.2127,1.6351,1.6289
0006-3157556-588-19.png,1.5358,1.8363,1.8164
0006-3157556-596-19.png,1.5157,1.8137,1.801
0006-3157556-615-19.png,1.5932,1.8719,1.8629
0006-3157556-616-19.png,1.5113,1.817,1.7993
0006-3157556-72-16.png,1.3574,1.772,1.7518
0006-3157556-9-12.png,1.7303,1.9215,1.9148
0006-3157556-91-15.png,1.8822,1.9752,1.9708
0006-3157556-91-7.png,1.4741,1.8381,1.8415
0006-3157556-95-7.png,1.5334,1.8596,1.8584
0006-3426930-1-12.png,1.5132,1.8272,1.82
0006-3426930-2-12.png,1.7491,1.9255,1.9235
0007-3157556-103-18.png,1.2857,1.6804,1.6651
0007-3157556-108-11.png,1.491,1.8082,1.7946
0007-3157556-119-14.png,1.5887,1.8513,1.8413
0007-3157556-12-18.png,1.3658,1.7471,1.7257
0007-3157556-120-14.png,1.4937,1.7994,1.7854
0007-3157556-13-14.png,1.7476,1.9364,1.9333
0007-3157556-139-14.png,1.287,1.6896,1.6704
0007-3157556-316-19.png,1.2507,1.6656,1.6615
0007-3157556-39-7.png,1.3393,1.7255,1.7213
0007-3157556-40-16.png,1.3433,1.7494,1.7328
0007-3157556-42-16.png,1.2194,1.6487,1.6362
0007-3157556-48-12.png,1.5053,1.846,1.8374
0007-3157556-49-13.png,1.5155,1.8474,1.8311
0007-3157556-579-21.png,1.3788,1.752,1.7426
0007-3157556-91-17.png,1.5015,1.8386,1.8324
0007-3249138-10-7.png,0.5774,1.0289,0.9844
0007-3249138-1040-19.png,0.6501,1.0425,1.024
0007-3249138-11-16.png,0.3893,0.7331,0.6601
0007-3249138-11-17.png,0.2282,0.4991,0.4296
0007-3249138-112-19.png,0.5679,0.9718,0.95
0007-3249138-12-14.png,0.5897,0.9271,0.9187
0007-3249138-12-7.png,0.601,1.0311,0.9811
0007-3249138-13-17.png,0.0443,0.2024,0.166
0007-3249138-132-21.png,0.8272,1.2836,1.2656
0007-3249138-137-21.png,0.8266,1.3234,1.3107
0007-3249138-15-16.png,0.3537,0.6168,0.5551
0007-3249138-16-12.png,1.1725,1.5164,1.5302
0007-3249138-16-15.png,0.3981,0.838,0.7219
0007-3249138-18-1.png,0.9849,1.4528,1.4555
0007-3249138-18-13.png,0.3875,0.7418,0.6918
0007-3249138-18-16.png,0.2897,0.5527,0.5296
0007-3249138-185-21.png,0.9844,1.411,1.3834
0007-3249138-186-21.png,0.9474,1.3734,1.3534
0007-3249138-19-3.png,1.0907,1.398,1.4263
0007-3249138-190-21.png,0.8356,1.2572,1.2246
0007-3249138-203-20 .png,0.7914,1.2624,1.2513
0007-3249138-204-20 .png,0.7632,1.267,1.2575
0007-3249138-21-13.png,0.3865,0.8011,0.7614
0007-3249138-22-11.png,0.2159,0.5153,0.4573
0007-3249138-23-1.png,0.9666,1.421,1.4345
0007-3249138-23-8.png,0.9239,1.4037,1.4101
0007-3249138-234-2.png,0.1534,0.4346,0.3721
0007-3249138-24-1.png,0.9981,1.4841,1.4716
0007-3249138-26-3.png,1.3197,1.6044,1.6564
0007-3249138-26-8.png,0.9835,1.4441,1.4768
0007-3249138-2829-2.png,0.0639,0.2267,0.1818
0007-3249138-30-18.png,0.743,1.1471,1.1029
0007-3249138-30-7.png,0.5965,1.0636,1.0461
0007-3249138-307-17.png,0.1795,0.3517,0.3108
0007-3249138-31-17.png,0.2157,0.4746,0.4055
0007-3249138-31-20 .png,0.8984,1.3523,1.357
0007-3249138-32-8.png,0.8417,1.323,1.317
0007-3249138-33-14.png,0.5569,0.8092,0.7949
